Sentence #;Word;POS;Tag
Sentence: 1;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;(;PUNCT;O
 ;Brasil;PROPN;B-LOC
 ;);PUNCT;O
 ;,;PUNCT;O
 ;23;NUM;O
 ;may;NOUN;O
 ;(;PUNCT;O
 ;EFECOM;PROPN;B-ORG
 ;);PUNCT;O
 ;.;PUNCT;O
Sentence: 2;-;PUNCT;O
 ;La;DET;O
 ;multinacional;NOUN;O
 ;española;ADJ;O
 ;Telefónica;PROPN;B-ORG
 ;ha;AUX;O
 ;impuesto;VERB;O
 ;un;DET;O
 ;récord;NOUN;O
 ;mundial;ADJ;O
 ;al;ADP;O
 ;poner;VERB;O
 ;en;ADP;O
 ;servicio;NOUN;O
 ;tres;NUM;O
 ;millones;NOUN;O
 ;de;ADP;O
 ;nuevas;ADJ;O
 ;líneas;NOUN;O
 ;en;ADP;O
 ;el;DET;O
 ;estado;NOUN;O
 ;brasileño;ADJ;O
 ;de;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;desde;ADP;O
 ;que;SCONJ;O
 ;asumió;VERB;O
 ;el;DET;O
 ;control;NOUN;O
 ;de;ADP;O
 ;la;DET;O
 ;operadora;NOUN;O
 ;Telesp;PROPN;B-ORG
 ;hace;VERB;O
 ;20;NUM;O
 ;meses;NOUN;O
 ;,;PUNCT;O
 ;anunció;VERB;O
 ;hoy;ADV;O
 ;el;DET;O
 ;presidente;NOUN;O
 ;de;ADP;O
 ;Telefónica;PROPN;B-ORG
 ;do;ADP;I-ORG
 ;Brasil;PROPN;I-ORG
 ;,;PUNCT;O
 ;Fernando;PROPN;B-PER
 ;Xavier;PROPN;I-PER
 ;Ferreira;PROPN;I-PER
 ;.;PUNCT;O
Sentence: 3;En;ADP;O
 ;un;DET;O
 ;balance;NOUN;O
 ;que;PRON;O
 ;hizo;VERB;O
 ;de;ADP;O
 ;la;DET;O
 ;gestión;NOUN;O
 ;de;ADP;O
 ;Telefónica;PROPN;B-ORG
 ;en;ADP;O
 ;Sao;PROPN;B-LOC
 ;Paulo;PROPN;I-LOC
 ;desde;ADP;O
 ;agosto;NOUN;O
 ;de;ADP;O
 ;1998;NUM;O
 ;,;PUNCT;O
 ;Ferreira;PROPN;B-PER
 ;subrayó;VERB;O
 ;que;SCONJ;O
 ;la;DET;O
 ;empresa;NOUN;O
 ;ha;AUX;O
 ;cumplido;VERB;O
 ;todas;DET;O
 ;las;DET;O
 ;metas;NOUN;O
 ;fijadas;ADJ;O
 ;por;ADP;O
